"","events_1","durations_1","choices_1"
"1",14905264,1533,14906797
"2",14925814,1217,14927031
"3",14953248,1117,14954365
"4",14960098,1250,14961348
"5",14995015,1267,14996282
"6",15008698,1567,15010265
"7",15043382,2134,15045516
"8",15077666,1184,15078850
"9",15084516,850,15085366
"10",15112367,1383,15113750
"11",15132934,2150,15135084
"12",15194985,1367,15196352
"13",15222385,1117,15223502
"14",15244952,1250,15246202
"15",15258936,3400,15262336
"16",15272669,817,15273486
"17",15293186,717,15293903
"18",15300053,2000,15302053
"19",15336737,2717,15339454
"20",15343754,1600,15345354
"21",15392354,951,15393305
"22",15400271,2367,15402638
"23",15434772,900,15435672
"24",15462206,1100,15463306
"25",15489639,967,15490606
"26",15517023,1150,15518173
"27",15530707,2100,15532807
"28",15551257,1050,15552307
"29",15599208,1650,15600858
"30",15606058,1500,15607558
"31",15661692,1233,15662925
"32",15668542,1134,15669676
"33",15689126,800,15689926
"34",15737610,767,15738377
"35",15765027,783,15765810
"36",15771894,2617,15774511
"37",15792761,750,15793511
"38",15813844,1400,15815244
"39",15827711,1167,15828878
"40",15862278,1384,15863662
"41",15882862,984,15883846
"42",15903429,1550,15904979
"43",15930846,1350,15932196
"44",15972013,1601,15973614
"45",15999681,1216,16000897
"46",16041048,1050,16042098
"47",16054765,1583,16056348
"48",16076165,2284,16078449
"49",16147300,733,16148033
"50",16174717,1500,16176217
"51",16265718,1700,16267418
"52",16272585,850,16273435
"53",16293168,951,16294119
