"","stimuli_3","durations_3","choices_3","choice_durations_3","record_3"
"1",14932681,1300,14933981,3918,14937899
"2",14946414,2584,14948998,2634,14951632
"3",14973765,1966,14975731,3252,14978983
"4",14987465,767,14988232,4451,14992683
"5",15015565,1100,15016665,4118,15020783
"6",15029682,1117,15030799,4101,15034900
"7",15050266,1117,15051383,4101,15055484
"8",15070783,950,15071733,4268,15076001
"9",15105533,767,15106300,4451,15110751
"10",15174401,1800,15176201,3418,15179619
"11",15188135,1017,15189152,4200,15193352
"12",15236102,2450,15238552,2768,15241320
"13",15286353,1217,15287570,4001,15291571
"14",15313737,2400,15316137,2817,15318954
"15",15329870,984,15330854,4234,15335088
"16",15351187,2817,15354004,2401,15356405
"17",15371788,1000,15372788,4217,15377005
"18",15448505,1134,15449639,4084,15453723
"19",15482789,1550,15484339,3668,15488007
"20",15523856,1151,15525007,4067,15529074
"21",15544407,967,15545374,4251,15549625
"22",15558107,950,15559057,4268,15563325
"23",15578707,2434,15581141,2784,15583925
"24",15592374,1500,15593874,3718,15597592
"25",15612908,1917,15614825,3301,15618126
"26",15633492,2433,15635925,2784,15638709
"27",15675409,717,15676126,4501,15680627
"28",15696059,817,15696876,4401,15701277
"29",15702909,1451,15704360,3767,15708127
"30",15744460,1700,15746160,3518,15749678
"31",15806961,1683,15808644,3535,15812179
"32",15869145,734,15869879,4484,15874363
"33",15876012,1600,15877612,3618,15881230
"34",15923979,850,15924829,4368,15929197
"35",15937713,1033,15938746,4185,15942931
"36",15944563,1467,15946030,3751,15949781
"37",15978847,783,15979630,4435,15984065
"38",15985947,2184,15988131,3034,15991165
"39",16020298,1216,16021514,4002,16025516
"40",16068982,2300,16071282,2918,16074200
"41",16083115,2450,16085565,2768,16088333
"42",16112999,1100,16114099,4118,16118217
"43",16119866,1150,16121016,4068,16125084
"44",16126732,984,16127716,4234,16131950
"45",16154133,883,16155016,4335,16159351
"46",16189083,1267,16190350,3951,16194301
"47",16203167,817,16203984,4401,16208385
"48",16237468,1100,16238568,4118,16242686
"49",16279452,716,16280168,4502,16284670
