"","stimuli_0","durations_0","choices_0","choice_durations_0","record_0"
"1",11766965,1200,11768165,4018,11772183
"2",11815766,2384,11818150,2834,11820984
"3",11915134,2717,11917851,2501,11920352
"4",11922601,3150,11925751,2068,11927819
"5",11958252,3966,11962218,1251,11963469
"6",11965118,3367,11968485,1851,11970336
"7",12017552,4617,12022169,1017,12023186
"8",12026169,4184,12030353,1034,12031387
"9",12033719,1667,12035386,3551,12038937
"10",12069870,4150,12074020,1068,12075088
"11",12076837,6267,12083104,1016,12084120
"12",12101754,3667,12105421,1551,12106972
"13",12125687,3767,12129454,1451,12130905
"14",12181238,2467,12183705,2751,12186456
"15",12194955,2017,12196972,3201,12200173
"16",12236806,4250,12241056,1017,12242073
"17",12255889,5101,12260990,1016,12262006
"18",12263656,3150,12266806,2068,12268874
"19",12284706,3617,12288323,1601,12289924
"20",12298423,5167,12303590,1017,12304607
"21",12306257,2783,12309040,2435,12311475
"22",12387108,1350,12388458,3868,12392326
"23",12534577,1050,12535627,4168,12539795
"24",12568844,2217,12571061,3001,12574062
"25",12596295,2617,12598912,2601,12601513
"26",12603161,2117,12605278,3101,12608379
"27",12610611,2551,12613162,2667,12615829
"28",12638079,1650,12639729,3568,12643297
"29",12665546,717,12666263,4501,12670764
"30",12686129,2317,12688446,2901,12691347
"31",12720647,1016,12721663,4201,12725864
"32",12727497,2483,12729980,2735,12732715
"33",12734380,2000,12736380,3218,12739598
"34",12741213,1267,12742480,3951,12746431
"35",12777197,1451,12778648,3767,12782415
"36",12784047,4567,12788614,1017,12789631
"37",12846148,2067,12848215,3151,12851366
"38",12917850,1666,12919516,3551,12923067
"39",12924716,2200,12926916,3018,12929934
"40",12986434,2034,12988468,3184,12991652
"41",13021051,1417,13022468,3801,13026269
"42",13048485,2517,13051002,2701,13053703
"43",13069102,2183,13071285,3035,13074320
"44",13082819,1333,13084152,3885,13088037
"45",13097736,1433,13099169,3785,13102954
"46",13104586,1733,13106319,3485,13109804
"47",13121186,3100,13124286,2118,13126404
"48",13142286,1034,13143320,4184,13147504
