"","stimuli_2","durations_2","choices_2","choice_durations_2","record_2"
"1",11760115,2700,11762815,2518,11765333
"2",11788132,2984,11791116,2234,11793350
"3",11830233,10500,11840733,1017,11841750
"4",11857950,2217,11860167,3001,11863168
"5",11879467,4034,11883501,1184,11884685
"6",11893417,4467,11897884,1017,11898901
"7",11986052,1617,11987669,3601,11991270
"8",11992885,6201,11999086,1016,12000102
"9",12010719,1700,12012419,3518,12015937
"10",12047403,2517,12049920,2701,12052621
"11",12086437,5333,12091770,1017,12092787
"12",12139554,1334,12140888,3884,12144772
"13",12153255,3150,12156405,2067,12158472
"14",12229972,3301,12233273,1917,12235190
"15",12291557,1333,12292890,3885,12296775
"16",12319957,1484,12321441,3734,12325175
"17",12334941,4733,12339674,1017,12340691
"18",12349674,1534,12351208,3684,12354892
"19",12357774,2267,12360041,2951,12362992
"20",12378841,5517,12384358,1017,12385375
"21",12393942,2016,12395958,3202,12399160
"22",12422009,2200,12424209,3018,12427227
"23",12449476,1617,12451093,3601,12454694
"24",12456559,1150,12457709,4068,12461777
"25",12470659,3284,12473943,1934,12475877
"26",12504927,5217,12510144,1016,12511160
"27",12513977,1933,12515910,3285,12519195
"28",12527694,2300,12529994,2918,12532912
"29",12541427,1767,12543194,3451,12546645
"30",12617478,1467,12618945,3751,12622696
"31",12644929,2050,12646979,3168,12650147
"32",12672412,1767,12674179,3451,12677630
"33",12706946,1434,12708380,3784,12712164
"34",12798131,917,12799048,4301,12803349
"35",12804998,2183,12807181,3035,12810216
"36",12839298,1217,12840515,4001,12844516
"37",12852999,2183,12855182,3034,12858216
"38",12881699,1250,12882949,3968,12886917
"39",12895449,4350,12899799,1017,12900816
"40",12902466,1217,12903683,4001,12907684
"41",12938417,4083,12942500,1134,12943634
"42",12952133,3717,12955850,1501,12957351
"43",12979567,1600,12981167,3618,12984785
"44",12993617,1284,12994901,3934,12998835
"45",13027901,3134,13031035,2084,13033119
"46",13055368,3117,13058485,2101,13060586
"47",13111436,4500,13115936,1017,13116953
"48",13134920,1183,13136103,4034,13140137
"49",13149153,2284,13151437,2934,13154371
"50",13176604,2633,13179237,2584,13181821
